Date,High,Low,Open,Close,Volume,Adj Close,MktRF,SMB,HML,RF,Yest_Close,stock_return
2014-01-03,29.25047492980957,28.823528289794922,28.833017349243164,28.956356048583984,15847312.0,22.20318031311035,0.03,0.37,0.04,0.0,22.159528732299805,0.001969878571782088
2014-01-06,29.36432647705078,28.965843200683594,29.19354820251465,28.984819412231445,25255421.0,22.225004196166992,-0.34,-0.58,0.28,0.0,22.20318031311035,0.0009829169852642343
2014-01-07,29.43074035644531,29.16508483886719,29.2789363861084,29.16508483886719,23423042.0,22.363231658935547,0.68,0.39,-0.39,0.0,22.225004196166992,0.0062194572180280586
2014-01-08,29.40227699279785,29.07969665527344,29.203035354614254,29.36432647705078,24161053.0,22.51599884033203,0.04,0.01,-0.11,0.0,22.363231658935547,0.006831176447409562
2014-01-09,29.525617599487305,29.04174613952637,29.4876651763916,29.34535026550293,21692901.0,22.50145149230957,0.02,0.2,-0.42,0.0,22.51599884033203,-0.0006460893929521278
2014-01-10,29.36432647705078,28.93738174438477,29.25996208190918,29.11764717102051,22890877.0,22.326854705810547,0.27,0.55,-0.82,0.0,22.50145149230957,-0.007759356615669714
2014-01-13,29.440227508544922,28.880455017089844,29.2789363861084,28.97533226013184,25276396.0,22.21772766113281,-1.32,-0.07,0.12,0.0,22.326854705810547,-0.0048877034457225944
2014-01-14,29.45920372009277,28.984819412231445,29.013282775878906,29.41176414489746,34757336.0,22.55238342285156,1.15,0.16,-0.32,0.0,22.21772766113281,0.015062555758309578
2014-01-15,29.70588111877441,29.26944923400879,29.45920372009277,29.582542419433594,30372907.0,22.68332862854004,0.53,0.22,0.21,0.0,22.55238342285156,0.005806269041869775
2014-01-16,29.81024742126465,29.497154235839844,29.582542419433594,29.573055267333984,19576047.0,22.67605209350586,-0.07,0.31,-0.7,0.0,22.68332862854004,-0.0003207877976526069
2014-01-17,29.686906814575195,29.36432647705078,29.648956298828125,29.497154235839844,22790853.0,22.61785697937012,-0.39,0.03,0.03,0.0,22.67605209350586,-0.0025663688677274206
2014-01-21,29.80075836181641,29.36432647705078,29.715370178222656,29.629980087280273,25355656.0,22.71969413757324,0.3,0.46,0.0,0.0,22.61785697937012,0.004502511369490229
2014-01-22,29.734344482421875,29.497154235839844,29.70588111877441,29.667932510375977,23554265.0,22.748809814453125,0.15,0.27,0.21,0.0,22.71969413757324,0.0012815171147808552
2014-01-23,29.629980087280273,29.32637596130371,29.43074035644531,29.42125129699707,26367391.0,22.55965232849121,-0.86,0.17,-0.54,0.0,22.748809814453125,-0.008315049776438661
2014-01-24,29.37381362915039,28.51992416381836,29.2789363861084,28.54838752746582,38059518.0,21.890357971191406,-2.19,-0.38,0.17,0.0,22.55965232849121,-0.029667760280797158
